Bedrooms,Square Footage,Location,Age of House,Bathrooms,Sale Price
5,3213,Rural,34,3,117023
1,3229,Suburb,25,3,911224
4,3785,Suburb,4,2,257700
4,3604,Suburb,26,2,830472
4,3010,City,18,1,718277
2,2801,Rural,41,3,593381
4,1187,City,48,1,497317
3,3692,Suburb,13,1,420966
5,2303,City,45,1,139119
1,2728,City,48,2,385984
1,1102,City,50,1,346550
5,3516,Suburb,12,3,235764
3,3885,Suburb,9,3,101089
2,1300,Suburb,30,2,330388
1,2172,Rural,50,1,508634
2,3821,City,25,1,780359
2,2683,City,29,2,540860
1,829,City,33,2,344262
2,807,Suburb,20,2,539552
5,3322,City,47,3,530300
4,802,City,9,3,200467
1,2282,City,26,3,515649
4,1188,Rural,17,2,129188
1,2781,City,13,2,784286
3,1177,Rural,47,1,112028
4,1530,Suburb,36,3,797496
1,1235,Suburb,44,3,987375
2,1506,Rural,40,1,756898
4,2364,Suburb,36,3,977021
4,1240,City,30,3,342476
4,2538,City,15,3,187183
1,2008,Rural,14,1,210186
2,3354,City,46,2,864524
2,2350,Rural,11,2,555637
2,1149,Rural,17,3,465079
1,2935,Suburb,4,2,350604
3,2914,City,22,2,50990
5,3646,Suburb,31,2,355520
4,1123,City,28,1,599191
4,1844,Suburb,40,1,170687
3,982,Rural,11,3,864552
5,3770,Suburb,33,3,464825
3,2842,Rural,10,3,651333
1,3929,Rural,27,3,775793
1,2072,Rural,30,2,985191
5,1147,City,48,3,703355
1,3320,Suburb,21,2,395105
5,3849,Suburb,29,2,796200
2,3557,Rural,47,3,980085
5,3821,Rural,25,1,87221
2,3501,Rural,33,1,699401
3,993,City,12,2,317827
3,1049,Rural,5,1,642002
1,3590,Suburb,12,2,96075
2,2861,Suburb,28,2,818076
2,2906,City,41,2,612935
2,3528,City,14,2,377948
2,3816,City,1,3,695341
4,1284,City,37,2,517192
4,2971,Suburb,37,2,79788
3,2215,Rural,12,1,793791
4,951,Rural,22,3,296061
1,2155,City,13,1,576829
4,1380,Suburb,30,1,319046
5,1489,City,47,2,210257
2,3426,City,25,3,701217
3,2524,Suburb,11,3,236781
5,1245,Suburb,24,2,694026
4,3327,Rural,3,2,853472
5,1616,Suburb,32,1,709907
5,3853,City,39,1,605363
5,3480,Rural,29,3,959084
4,3424,Suburb,37,3,349821
5,2557,Suburb,45,2,631202
5,1417,City,45,3,893080
