abmient_temperature_c,vibration,pressure_bar,cooling_temp_c,speed_kmph,stress,strain,torque,angular_momentum,force_n
36,0.55596268,-1.532921053,1.593273616,0.613349165,0.309723825,2.042536234,-0.514878164,0.997844756,1.417079274
60,0.892473887,-1.711970164,0.568722399,1.843699976,-0.737456194,-0.919461184,0.41785424,0.260080724,0.443728729
56,-0.422314824,0.046135059,-0.114487046,0.271090982,-1.536919883,0.114670029,-2.048832759,0.925065615,-0.076972705
48,0.104714029,-0.95837448,0.251630249,1.136447627,-0.562254829,-0.137423704,-0.989744388,1.476075853,-1.091534359
54,0.228053325,-0.080811613,-1.210855638,-1.738331868,-1.599511123,1.365526925,-0.33829419,-1.87925228,-0.43745681
62,0.201479947,-0.703859036,-0.393733712,0.707134744,0.82438993,-0.261638347,1.503826503,-0.782528542,1.674010313
57,0.540773585,-0.770784301,0.085252575,0.030386131,2.491486202,-1.286240911,-0.258208951,-1.40220506,-2.924153142
45,-1.81807763,-0.480845341,0.099421987,0.765001977,1.011855164,-1.65465749,-0.154595642,-1.455285804,1.682530253
65,-0.04932407,0.703585555,-1.530616244,0.867665218,-0.281237939,0.03723274,-1.655827026,-1.152335412,-0.147113076
46,0.239033601,0.929145148,0.327623179,-2.256250118,0.016706508,1.270301301,-0.093554586,0.096548553,-0.367859222
67,-1.000330349,0.371172553,0.279196493,-0.44360274,1.153919669,-0.143276612,-1.090081008,0.292280245,0.137374884
56,1.673985707,-0.98982255,-0.377051206,-0.670023281,-0.600915036,0.795255215,0.778008176,0.886721453,-0.220107143
55,0.161559267,0.643631275,0.004174999,0.15216419,0.132937267,-0.072072476,2.168953917,0.113220625,-2.501423912
55,1.563404745,0.688896667,-1.483491553,-1.940533397,-2.169974427,-0.742424006,0.587482147,-0.029481647,-0.603821221
54,-0.790523022,0.274647204,-1.479795615,-1.090508667,-1.116558876,1.225653944,-1.101444216,0.278255834,0.726356208
44,-0.907300122,-0.603620436,0.134687262,1.001920704,-0.569368006,-2.205388107,0.647622076,0.970433046,1.206264502
52,0.224252221,0.708859575,-0.667723191,0.176892446,0.6362667,-0.530637623,-0.864605885,-1.431262817,-1.037852806
65,-1.678688363,0.422818575,-0.01155552,-1.088014541,-0.76764923,0.168214377,-0.319154002,-1.402234775,-0.245858487
46,0.214965591,-3.116856592,0.839490672,-0.253217367,0.618479483,-0.968846142,0.137911012,-0.194624694,-1.389653241
48,0.097219232,0.644452033,-0.17392993,1.098273058,0.18316122,0.309654023,1.247325779,-0.535497145,-0.078631017
39,1.015665282,-1.913742671,-2.810668055,-1.839566786,1.859351273,0.940107869,0.105161381,0.604276715,0.979512763
46,0.701041341,0.663561577,-0.150653638,-0.211428614,-1.075514635,-0.163390345,0.598657745,-1.415711747,-0.207132405
61,-0.41747735,-0.154072398,-0.481044022,-0.229663243,-2.019219711,-0.320882312,0.066523465,-0.972317287,-0.494726764
53,-1.097496655,1.193611681,-0.234694354,0.186979414,-2.437464458,-0.403430786,0.618591573,1.031282995,-1.672523082
38,1.712305221,-0.098161211,0.899730813,0.503779466,-0.14856351,-0.66406672,-0.102751536,1.45387448,0.21500161
59,-0.792115021,-0.88661426,-1.578530186,1.910342502,1.151151462,-0.116287454,1.228180292,0.233707521,-0.672310182
63,-1.045524557,-0.147353665,0.243956624,0.553781194,0.185323383,-0.416404486,-1.433920077,1.308023983,-0.216854388
47,-1.084856059,1.059806295,1.570303912,-0.587481467,0.658460926,-0.210624555,-0.761386365,0.761768806,-0.900316838
55,1.117305316,0.026246618,-0.625943115,1.257949943,-0.049536102,2.611800024,-1.112908187,0.592166203,-1.247777035
51,-0.518900204,-0.11433516,0.472327886,-0.858668398,0.23739885,-0.817096116,-0.693290779,-1.236162999,-0.177184469
60,-0.753704466,0.743553516,0.966305779,0.436187095,-1.511580323,0.229693454,-0.979284844,-0.908408145,-0.659075809
68,0.137689826,0.210359367,0.210231439,1.571463051,1.932370333,0.135286384,0.494383406,-0.76321865,1.19779556
65,-0.206944711,-0.005927406,-0.68509698,1.077314881,0.482422034,2.015309468,-0.651001746,-0.802038346,-1.593738227
56,-0.678095461,1.366060068,-0.709521011,0.811089677,-1.315783049,-0.983594791,-0.036413003,-1.376420976,-0.792513337
40,0.753991467,1.555114032,0.743800154,-2.231537639,-1.963615063,-0.03983988,-0.535065969,-1.550232713,-0.62214668
68,1.065315492,0.613326226,0.592149091,-0.101002517,0.533068184,-0.709985603,-0.756930552,-0.166393429,-1.65976109
47,0.985317509,-0.285959151,-0.786468415,-0.587375067,-0.109323217,0.251903596,0.100194888,0.759889549,0.435044728
67,0.76691967,1.496910994,-1.176473154,1.324868271,-0.283183419,1.010051054,-1.308250974,-0.287546322,-2.573836098
54,0.402625531,1.183119557,-1.280806714,0.840648478,1.433743845,-0.746994741,-1.089114292,-0.340835308,-0.624856856
40,-1.775888,0.718897166,1.661651861,0.261106182,-0.56861724,-0.227139965,-1.664018923,-0.438067501,0.33622471
63,1.669250806,-1.216076581,-0.06794512,0.794441648,-0.849846463,0.84246727,-0.70027988,0.142413753,1.073586442
68,0.30198921,0.140671903,2.360228586,-0.649616487,0.724446497,-0.002845334,-0.0759274,-0.299516775,-1.485271828
59,0.608156428,-0.743672175,0.555545603,0.63428451,0.605898348,0.057319267,1.159909861,-2.100525474,-0.294645546
45,1.114962323,-0.159012252,0.439522323,0.095002662,-1.290258481,-0.791154779,-0.836503931,2.405715463,-0.311185652
43,1.433352503,0.240056929,0.306272488,-1.683206807,0.789433106,1.511507468,1.582104413,0.338218018,1.279586231
52,0.418398011,0.100159408,0.99914985,0.344046138,1.960913744,-0.429203915,-0.127179831,0.363241477,1.450967059
49,0.435546159,-0.475175106,-0.966063185,0.707158031,-0.335539809,-0.281490129,0.433656138,0.313304729,-0.908771289
44,-0.599224277,1.272953749,2.160013108,1.193414585,-0.607612185,-0.298650507,0.169408491,0.424356434,-0.87505608
65,0.033089751,-1.696131267,-0.100301703,0.527388528,-0.727241881,0.971362884,0.572464842,0.182802669,-0.645388198
69,-0.854161261,0.730183531,-0.703400092,1.006703924,0.851408671,1.165934145,1.829893228,0.404355684,-2.56474935
35,-0.719940532,-1.857483272,0.302561002,-1.732327332,0.88841658,-0.184505721,1.418651064,2.542334601,0.243749466
61,-0.893574402,0.382598137,1.092338876,-0.373412163,-1.111323311,0.006585185,-0.977627778,-0.37914342,0.573477337
47,-0.156023891,-0.886904326,-1.007554876,-0.142510397,1.137844365,0.506548286,-0.419566819,-0.14957443,1.102734251
63,1.049093188,0.878303758,0.566869372,-0.329742365,1.275549279,0.195782791,0.429714338,-0.834699997,-0.74757144
64,3.170974773,0.086452524,-0.716444158,-0.089042119,0.294599412,0.785215977,-1.063327859,-0.774274128,2.095336936
39,0.189499638,0.247706378,-0.506273533,-0.577396249,-2.185679526,1.099250822,0.391182348,1.214964737,-1.3439731
37,-1.348413088,-1.018279326,-0.489482419,0.736165479,0.792377453,-0.638158788,-0.074785939,0.760616718,-1.297399598
64,1.26498333,-0.654570135,0.763541466,-0.991205548,-1.625041423,-0.225811085,-0.999360768,0.31710773,1.159611701
38,-0.300783876,0.207217393,-1.109072732,0.125174612,0.739830718,-0.051890873,0.344402998,-0.16721898,-0.950376747
64,-0.660608594,0.583569927,0.19261611,0.073152713,1.014269108,-0.49103588,0.973681155,0.123046535,0.001497896
63,0.209849478,2.929096242,-0.343417864,0.143937234,0.9582081,-2.24599002,-0.943086766,-0.53400568,0.182697091
59,-1.2406246,0.222858323,-0.847210178,-0.947724318,-2.615370926,-0.798510871,1.602595196,-0.06232819,0.188464997
63,0.222463164,0.976037525,-1.213523603,1.399229925,-0.728130828,-0.809393715,0.237615774,0.499379525,0.397595514
69,-0.088375523,-1.556933933,-1.202888325,-0.226123726,0.742498467,0.240431337,-0.12819568,-0.611261529,-0.664581115
48,0.098377907,-1.329891861,-1.633796018,-1.438854165,-0.08214396,0.437695779,0.392322555,0.227977839,-0.133331408
41,0.381416254,-0.355494775,0.896167194,0.801301018,-1.524901873,0.302163428,-2.592893985,-1.263295836,-2.841551121
53,0.067492257,-1.197427696,-0.241653163,-0.003331446,-0.438179051,0.276812025,0.775291463,-1.077302105,0.418096488
67,0.016338084,1.486399253,0.15865193,-0.096941558,-0.005391659,-0.912311048,0.264916774,0.360744536,-2.776437253
42,0.284314519,-0.410218693,1.178189364,-0.09587145,-1.712084862,-1.463643725,-0.45675722,-0.257662397,0.265807291
41,0.415400626,1.382181888,-1.220117157,0.395436964,1.705586302,0.801109993,0.337154976,0.78184729,0.227558797
66,-1.03148246,1.486782474,-0.941545675,-0.053243042,0.811189863,-1.47759691,0.404933779,-0.476354601,1.401155327
55,-1.429991259,0.04277972,0.254715537,-0.773499582,0.149360912,1.960286223,-1.06094765,1.305445411,1.555511096
68,-0.061638052,0.501799754,-1.824079552,-1.419185508,-0.735455682,0.291998361,0.093693999,0.684312029,0.842882482
49,-1.43273549,-0.056099473,-0.578708513,0.303451933,-0.312966527,0.114902883,-1.592292541,0.4527695,0.902897384
47,0.087531471,0.538437,-0.924893073,-1.518206705,-0.653416214,0.389295188,1.813806236,-2.447201705,0.321230014
65,0.938746876,0.483341852,0.329522442,1.119707725,-0.991225737,-0.461850241,-0.103457699,0.636151559,-0.599694028
36,0.607111672,-0.123649626,-0.425815866,-0.953860962,0.148966381,0.722020963,-0.305241085,-0.592281095,-1.024241992
43,-1.048170407,0.504969981,2.008149279,-0.849614022,1.103323601,-0.133376009,-1.404708003,-0.140744105,-0.615803823
