Car Model,MPG,Engine Displacement,Horsepower,Weight,Acceleration,Number of Cylinders,Origin,Curb Weight
Audi,24.98160475,5.13044401,478.2998809,4125.359813,11.26954315,8,Germany,3516.14291
Honda,48.02857226,4.356130578,225.1678192,3598.878204,19.14369067,4,USA,3054.325128
Ford,39.27975767,3.931620856,443.4025818,5814.814506,15.8226767,8,Germany,2515.584174
Honda,33.94633937,2.737490871,152.6747614,4568.44094,6.321898543,8,Germany,3635.039433
Honda,16.24074562,4.795161537,382.0163625,3192.601425,17.69477019,6,USA,3804.790972
Toyota,16.23978081,5.320242046,396.7910918,2505.856982,15.98451156,8,Germany,2760.886716
Ford,12.32334449,4.78479313,371.0892965,5370.218006,14.16419789,4,USA,2542.961127
Mercedes,44.64704583,1.506260421,200.9258945,3448.726411,17.30439441,8,USA,2746.752768
Honda,34.04460047,4.045605481,449.2172588,4641.878885,11.06164772,4,Japan,3842.93394
BMW,38.32290311,1.704541526,167.5433853,3883.265677,8.322515763,4,Germany,2943.265584
BMW,10.82337977,2.530428881,121.4539166,2795.719119,12.68035084,8,Japan,2850.556172
Audi,48.79639409,1.738098801,386.9859962,4406.746434,13.23262633,6,Germany,2521.884737
Audi,43.29770563,3.915181812,290.1902861,2242.732276,13.07489558,8,Germany,2945.582721
Ford,18.49356443,4.246359654,439.639208,3653.369839,13.47610687,8,Japan,3573.458616
BMW,17.27299869,1.957950552,253.3588564,4186.459759,19.23057377,6,Japan,3938.633933
Chevrolet,17.33618039,3.035355532,167.3114354,3744.187896,18.53368435,4,Japan,2969.111849
Chevrolet,22.16968972,3.324946036,434.576877,4994.688701,18.13575555,8,USA,2861.02798
Ford,30.99025727,2.976212087,319.5638527,5311.699818,17.02125216,6,Germany,3832.103531
Mercedes,27.27780075,1.984100002,175.678317,5084.972296,19.15142161,6,USA,3778.757276
Honda,21.64916561,3.175791161,388.1535994,2155.251791,6.477419625,4,Germany,2992.24063
Audi,34.47411579,4.504712191,304.4454554,2776.515082,8.976848922,6,Germany,2603.207731
Ford,15.57975443,1.784030658,341.7251929,4146.430037,12.42583918,4,USA,3987.984161
BMW,21.68578594,1.820720056,284.3593353,5739.288162,17.6980174,8,USA,3521.056431
Ford,24.65447373,2.919085167,431.4835935,5339.8271,12.57748567,6,Germany,3889.870746
BMW,28.24279937,5.266902846,431.8250863,5370.138033,16.22052109,8,Japan,3012.811711
Audi,41.40703846,4.174290587,383.7555287,3212.832775,7.084398579,6,Japan,3471.528129
Chevrolet,17.98695129,4.214679827,142.160551,3717.791588,8.786207195,6,Japan,3511.745845
Ford,30.56937754,2.947679963,435.5415448,3882.823789,15.97664143,8,Japan,3809.358201
Audi,33.69658275,3.874643165,368.4051922,2629.486333,7.471010133,6,Germany,3989.587056
Audi,11.85801651,1.540524736,378.8096664,2124.272521,10.27033902,8,Japan,2662.999268
Nissan,34.30179408,4.044384186,245.1931362,5787.611598,8.972993867,8,Japan,3446.675268
Mercedes,16.82096495,5.15314779,451.7118225,2962.850343,10.24792541,4,Japan,3004.659923
BMW,12.60206372,3.950293873,390.1486401,2959.795615,15.62486074,8,Germany,3717.487641
Nissan,47.95542149,4.994794374,145.0361866,2333.516215,10.51770772,4,USA,3631.221977
Chevrolet,48.62528132,4.395892222,263.1112138,5714.031008,13.32894984,8,Japan,3838.777786
Audi,42.33589392,1.982233666,454.5521448,4318.94846,6.498978156,6,Germany,3015.554316
Audi,22.18455077,5.109813229,118.8786807,4668.147429,17.0752654,8,Germany,2776.795516
Honda,13.90688456,1.765775377,484.5666479,5646.307549,10.54832938,6,Japan,2532.702516
BMW,37.36932106,3.63586989,371.6650273,3382.480676,14.72801239,4,USA,2883.260026
Mercedes,27.60609975,2.068548495,352.5503911,4486.029245,15.88084402,6,USA,3050.75731
Mercedes,14.88152939,1.546826443,208.2237026,2155.197819,8.144913832,8,USA,3919.100479
Honda,29.8070764,3.188137041,199.5167155,2747.090113,18.27012477,6,Germany,3237.058951
Chevrolet,11.37554084,2.680162831,476.8232878,5324.98322,14.24336377,4,Japan,3334.659256
Honda,46.37281608,3.444001975,219.3089817,5067.073425,11.43087713,6,Japan,3820.193143
Audi,20.35119926,3.808799547,410.2021187,3402.570766,7.735027754,6,Germany,3827.604271
BMW,36.50089137,1.674956289,257.2487193,3507.242511,19.13451407,8,Japan,3291.87374
Toyota,22.46844304,1.99201318,155.7016283,4134.217734,16.32602306,8,Japan,2670.555248
BMW,30.80272085,3.734569586,104.2861191,2000.964019,8.120368441,6,USA,2905.774247
BMW,31.86841117,2.872669413,317.7029348,2964.977344,10.06566162,4,Japan,3185.3323
Nissan,17.39417822,4.41669395,490.3115274,2832.927234,17.14511387,6,Japan,3626.754243
Toyota,48.78338511,4.109166594,247.6544775,3001.931787,15.43516495,4,Germany,3567.522622
Toyota,41.00531293,4.882417452,242.8769336,5223.62337,16.48676439,4,Germany,3464.062353
Toyota,47.57995766,4.269971307,237.6366471,3118.695426,11.61801653,4,USA,3820.36834
BMW,45.79309402,3.21972431,308.2175349,2766.085288,15.74714394,6,Germany,3703.969612
Chevrolet,33.91599915,4.19186649,276.2659534,4017.053843,10.79740584,4,USA,3973.171361
Toyota,46.8749694,2.601524697,451.9658507,5462.580145,8.168943754,6,USA,3833.737781
Ford,13.53970008,2.725253995,302.2083167,2965.398815,14.49015552,4,Japan,2793.484642
Honda,17.8393145,4.65594064,303.1031353,2314.144971,19.64020888,4,USA,2586.424848
Chevrolet,11.80909156,3.285678066,155.3486379,3425.618943,9.659014571,6,Japan,3121.766416
