Car Model,Acceleration,Number of Cylinders,Origin,Curb Weight,Horsepower_bin,MPG_bin,Engine_Displacement_bin,Weight_bin
Audi,11.26954315,8,Germany,3516.14291,>350,20-25,5-6,4000-4500
Honda,19.14369067,4,USA,3054.325128,200-250,40-50,4-5,3500-4000
Ford,15.8226767,8,Germany,2515.584174,>350,35-40,3-4,>5000
Honda,6.321898543,8,Germany,3635.039433,150-200,30-35,2-3,4500-5000
Honda,17.69477019,6,USA,3804.790972,>350,15-20,4-5,3000-3500
Toyota,15.98451156,8,Germany,2760.886716,>350,15-20,5-6,2500-3000
Ford,14.16419789,4,USA,2542.961127,>350,<15,4-5,>5000
Mercedes,17.30439441,8,USA,2746.752768,200-250,40-50,<2,3000-3500
Honda,11.06164772,4,Japan,3842.93394,>350,30-35,4-5,4500-5000
BMW,8.322515763,4,Germany,2943.265584,150-200,35-40,<2,3500-4000
BMW,12.68035084,8,Japan,2850.556172,100-150,<15,2-3,2500-3000
Audi,13.23262633,6,Germany,2521.884737,>350,40-50,<2,4000-4500
Audi,13.07489558,8,Germany,2945.582721,250-300,40-50,3-4,2000-2500
Ford,13.47610687,8,Japan,3573.458616,>350,15-20,4-5,3500-4000
BMW,19.23057377,6,Japan,3938.633933,250-300,15-20,<2,4000-4500
Chevrolet,18.53368435,4,Japan,2969.111849,150-200,15-20,3-4,3500-4000
Chevrolet,18.13575555,8,USA,2861.02798,>350,20-25,3-4,4500-5000
Ford,17.02125216,6,Germany,3832.103531,300-350,30-35,2-3,>5000
Mercedes,19.15142161,6,USA,3778.757276,150-200,25-30,<2,>5000
Honda,6.477419625,4,Germany,2992.24063,>350,20-25,3-4,2000-2500
Audi,8.976848922,6,Germany,2603.207731,300-350,30-35,4-5,2500-3000
Ford,12.42583918,4,USA,3987.984161,300-350,15-20,<2,4000-4500
BMW,17.6980174,8,USA,3521.056431,250-300,20-25,<2,>5000
Ford,12.57748567,6,Germany,3889.870746,>350,20-25,2-3,>5000
BMW,16.22052109,8,Japan,3012.811711,>350,25-30,5-6,>5000
Audi,7.084398579,6,Japan,3471.528129,>350,40-50,4-5,3000-3500
Chevrolet,8.786207195,6,Japan,3511.745845,100-150,15-20,4-5,3500-4000
