Car Model,MPG,Engine Displacement,Horsepower,Weight,Acceleration,Number of Cylinders,Origin,Curb Weight,Combined Power,Weight Difference,Fuel Efficiency per Weight,Weight per Cylinder,Acceleration Power,Log Weight,Engine Power Squared
Audi,24.98160475,5.13044401,478.2998809,4125.359813,11.26954315,8,Germany,3516.14291,483.43032491,609.216903,0.006055618390249733,515.669976625,5390.221146442411,8.324908522358633,26.321455739744877
Honda,48.02857226,4.356130578,225.1678192,3598.878204,19.14369067,4,USA,3054.325128,229.523949778,544.5530760000001,0.013345428641241119,899.719551,4310.543079603287,8.188377465883717,18.975873612586614
Ford,39.27975767,3.931620856,443.4025818,5814.814506,15.8226767,8,Germany,2515.584174,447.334202656,3299.2303319999996,0.006755117919835499,726.85181325,7015.815699766705,8.668164165217835,15.457642555334171
Honda,33.94633937,2.737490871,152.6747614,4568.44094,6.321898543,8,Germany,3635.039433,155.412252271,933.4015070000005,0.0074306179757683355,571.0551175,965.1943516475326,8.426927274698333,7.493856268808338
Honda,16.24074562,4.795161537,382.0163625,3192.601425,17.69477019,6,USA,3804.790972,386.811524037,-612.189547,0.005086994415533721,532.1002374999999,6759.691743257234,8.06859135717495,22.993574165924205
Toyota,16.23978081,5.320242046,396.7910918,2505.856982,15.98451156,8,Germany,2760.886716,402.111333846,-255.0297340000002,0.006480729318015006,313.23212275,6342.5117937821215,7.826386063596002,28.304975428026264
Ford,12.32334449,4.78479313,371.0892965,5370.218006,14.16419789,4,USA,2542.961127,375.87408963,2827.256879,0.0022947568378474505,1342.5545015,5256.182230486885,8.588623783699358,22.894245296895193
Mercedes,44.64704583,1.506260421,200.9258945,3448.726411,17.30439441,8,USA,2746.752768,202.432154921,701.9736430000003,0.012945951783126238,431.090801375,3476.90092561005,8.145760285638586,2.268820455871097
Honda,34.04460047,4.045605481,449.2172588,4641.878885,11.06164772,4,Japan,3842.93394,453.262864281,798.9449450000002,0.007334228512513204,1160.46972125,4969.08306658967,8.442874495369487,16.36692370789724
BMW,38.32290311,1.704541526,167.5433853,3883.265677,8.322515763,4,Germany,2943.265584,169.24792682600003,940.0000929999997,0.009868730676085544,970.81641925,1394.3824651456325,8.264431747942208,2.905461813858409
BMW,10.82337977,2.530428881,121.4539166,2795.719119,12.68035084,8,Japan,2850.556172,123.984345481,-54.837053000000196,0.003871411722459234,349.464889875,1540.0782733800997,7.935844640152936,6.403070321798913
Audi,48.79639409,1.738098801,386.9859962,4406.746434,13.23262633,6,Germany,2521.884737,388.72409500099997,1884.8616969999998,0.011073111380658123,734.457739,5120.8410826574,8.390891926086596,3.0209874420376375
Audi,43.29770563,3.915181812,290.1902861,2242.732276,13.07489558,8,Germany,2945.582721,294.105467912,-702.850445,0.019305784329827873,280.3415345,3794.207689087825,7.715450167610261,15.328648621015605
Ford,18.49356443,4.246359654,439.639208,3653.369839,13.47610687,8,Japan,3573.458616,443.885567654,79.91122300000006,0.005062056469777518,456.671229875,5924.624951250159,8.20340526421098,18.031570311118998
BMW,17.27299869,1.957950552,253.3588564,4186.459759,19.23057377,6,Japan,3938.633933,255.316806952,247.82582600000023,0.004125920153147709,697.7432931666667,4872.236178283037,8.339610729511822,3.833570364077105
Chevrolet,17.33618039,3.035355532,167.3114354,3744.187896,18.53368435,4,Japan,2969.111849,170.346790932,775.076047,0.00463015769281254,936.046974,3100.897331849016,8.22796002223565,9.213383205643003
Chevrolet,22.16968972,3.324946036,434.576877,4994.688701,18.13575555,8,USA,2861.02798,437.901823036,2133.660721,0.004438652946591315,624.336087625,7881.3800089544175,8.516130367018429,11.055266142312114
Ford,30.99025727,2.976212087,319.5638527,5311.699818,17.02125216,6,Germany,3832.103531,322.540064787,1479.5962869999998,0.005834338974687895,885.283303,5439.376918027797,8.577667179393847,8.857838386804895
Mercedes,27.27780075,1.984100002,175.678317,5084.972296,19.15142161,6,USA,3778.757276,177.66241700199998,1306.21502,0.005364395155398896,847.4953826666666,3364.48951660223,8.534044860286894,3.9366528179363995
Honda,21.64916561,3.175791161,388.1535994,2155.251791,6.477419625,4,Germany,2992.24063,391.329390561,-836.9888389999996,0.010044842881190766,538.81294775,2514.2337422679484,7.675662836083774,10.085649498285727
