Company Name,Stock Price,Market Capitalization,Earnings per Share (EPS),Price-to-Earnings Ratio (P/E Ratio),Dividend Yield,Beta,Debt-to-Equity Ratio
Company 1,106.1810178,96439778.52,2.082791977,6.834101686,0.015153288,1.183491232,0.559893102
Company 2,192.607146,624235465.4,6.206157718,21.57865622,0.031911221,1.408548861,0.300919073
Company 3,159.7990913,452315911.1,7.454526787,19.88415925,0.017500343,1.537795862,0.167134315
Company 4,139.7987726,587021854.7,7.405382194,15.37864135,0.046418628,1.074604055,0.407173739
Company 5,73.40279607,168846193.5,5.262345339,15.55480585,0.003281304,1.803648603,0.232273365
Company 6,73.39917805,737136871.2,0.777741321,24.62659803,0.027470592,1.352478727,0.534800977
Company 7,58.71254183,862934280.5,3.77401809,9.892816002,0.029543313,1.159261671,0.19882853
Company 8,179.9264219,217523060.3,9.215589424,25.50633297,0.032636406,0.600860951,0.508405977
Company 9,140.1672518,96618840.96,5.886044207,21.21867785,0.012783311,1.197034203,0.157378515
Company 10,156.2108867,24614947.46,5.429486238,15.47424434,0.018228321,1.731103761,0.670974709
Company 11,53.08767414,642329528.9,2.761649792,16.45071541,0.042184026,1.421811527,0.753937684
Company 12,195.4864778,607486942.1,3.747644307,11.41618018,0.009747138,1.748243681,0.110394234
Company 13,174.8663961,547150715.3,8.963926283,23.80285832,0.041343392,1.241017506,0.467802412
Company 14,81.8508666,232715149,6.697984171,17.82186856,0.028132771,0.677692558,0.070871701
Company 15,77.27374508,391515089.9,7.895131565,13.02136357,0.038109376,0.520459769,0.598182446
Company 16,77.51067648,594881858.9,4.598019688,19.90125289,0.035680368,0.95482932,0.264404298
Company 17,95.63633644,497270092,6.339447473,29.8933613,0.010375575,1.546985707,0.527624457
Company 18,128.7134647,987797734.7,2.558997727,15.88155699,0.028440637,1.685389856,0.517461009
Company 19,114.7917528,137303312.8,7.08406222,28.01728502,0.043386158,0.943629252,0.924354346
Company 20,93.68437103,695449409.5,4.333253204,13.625421,0.021605812,1.243480881,0.549083223
Company 21,141.7779342,404914449.3,4.481200597,6.368317673,0.048329539,1.131678357,0.58299848
Company 22,70.9240791,428771415.3,6.528291013,10.10605266,0.022610755,1.115784177,0.401653126
Company 23,93.82169728,717880167.9,9.369178153,15.46737858,0.007139282,0.84702307,0.949079603
Company 24,104.9542765,692743715.2,0.733662831,10.49087321,0.019471734,0.704556658,0.777185909
Company 25,118.4104976,991264737.7,8.26495805,5.005675955,0.04758512,0.795032837,0.28540529
Company 26,167.7763942,129265895.2,2.994592793,27.87503844,0.015986042,0.582998581,0.844209586
Company 27,79.95106732,105005539.7,4.4948026,26.09698528,0.043404908,0.797196113,0.43239636
Company 28,127.1351658,724614478.3,0.316941955,23.55730579,0.044062534,0.513801346,0.828667144
Company 29,138.8621853,578808530.1,3.080356171,9.195364891,0.017509326,1.440887601,0.822888068
Company 30,56.96756191,274886505.9,5.076049302,8.009089405,0.004162883,0.974563111,0.188870187
Company 31,141.1317278,80339949.62,0.656143166,6.690118737,0.036227895,1.959717067,0.701141131
Company 32,75.57861855,86572591.35,4.961847721,23.10072972,0.015575615,0.790575576,0.290642969
Company 33,59.75773895,894296683.8,9.278395226,28.22019902,0.039146181,1.018742855,0.29749267
Company 34,192.3328306,192675457.4,1.143392859,15.76339552,0.022132742,1.036761738,0.296348077
Company 35,194.844805,324048190.6,7.667963208,7.9785168,0.024263337,0.512677244,0.725568248
Company 36,171.2596022,227429745.8,4.155743428,17.80982052,0.03889547,1.75881193,0.229826042
Company 37,95.69206538,355641309.5,6.586219774,13.72079769,0.019118167,0.54799169,0.000905835
Company 38,64.6508171,70354418.9,2.67634232,14.37062311,0.022156367,1.910269752,0.715236853
Company 39,152.634954,519540731.1,1.678973399,20.5332656,0.018809523,1.838111527,0.171184744
Company 40,116.0228741,68544951.03,1.688579881,22.96795283,0.018367026,1.303282874,0.104482395
Company 41,68.30573523,800556151.3,0.797870262,7.765089972,0.026297329,1.315393362,0.237516121
Company 42,124.2765365,234478369.8,1.937902379,5.88975577,0.040439972,1.480666884,0.379900522
Company 43,55.15827817,540471902.7,6.675771911,29.85825757,0.018088416,1.080575018,0.475906327
Company 44,186.3980603,880199008.5,8.828737057,10.81820872,0.026212736,1.470833425,0.044570041
Company 45,88.81699724,651226491.7,8.159844287,6.345763123,0.033536366,0.567152583,0.970573333
Company 46,149.3783427,533424828.8,6.882829668,9.746883227,0.013471972,0.581071441,0.716063053
Company 47,96.75666141,325009419.4,1.193275448,5.973946159,0.01387614,1.185845629,0.323194065
Company 48,128.0102032,333668911.1,2.962955718,14.79527237,0.046670656,1.324433452,0.318697257
Company 49,132.0065419,669817468.2,3.167088066,25.06004461,0.036176729,1.831726461,0.448542549
Company 50,77.72816833,994145221.9,2.574573769,13.53111124,0.028859334,0.656990951,0.626244823
Company 51,195.4376942,662177350.7,5.198556031,16.10458517,0.032386003,1.733971891,0.146373067
Company 52,166.2699235,558225634,5.401982767,21.88966934,0.001464972,0.815071006,0.188929814
Company 53,190.9248412,730919859.7,3.633171154,17.72235175,0.030905148,1.091125473,0.859434583
Company 54,184.2241026,465740406.7,3.602512671,26.53614215,0.025475444,0.974903652,0.256254924
Company 55,139.6849968,61082200.26,8.302700419,26.65089188,0.027287484,1.100232909,0.380194998
Company 56,188.2811353,562734519.1,7.913999198,5.247767387,0.017971191,0.725743247,0.871271851
Company 57,63.27387531,957667659.2,3.147178734,24.45115766,0.004073695,1.255355112,0.663147829
Company 58,79.39742936,176127639.4,9.146505594,16.51834001,0.009666962,1.702463885,0.341711879
Company 59,56.78409334,690314885.9,9.532868668,29.72101353,0.047537236,1.162301016,0.683699546
Company 60,98.79954961,201732755,3.334751166,17.0808019,0.020434978,1.235920364,0.019683215
Company 61,108.3015935,536291856.8,3.608806993,29.67239863,0.023334158,1.773151378,0.73564266
Company 62,90.70235477,97579773.2,5.105778119,23.86423403,0.002635489,1.559087172,0.487016041
