Date,Car Model,Units Sold,Revenue
2022-01-01,SUV,4,124409.41789110086
2022-01-01,SUV,6,312343.0223799503
2022-01-01,Electric,2,45217.48243723202
2022-01-01,Truck,2,115767.97380859373
2022-01-01,SUV,1,30775.98046607314
2022-01-01,SUV,10,520659.5108158204
2022-01-01,Sedan,2,158754.77040702073
2022-01-01,Truck,9,716189.8229534397
2022-01-01,Truck,10,764316.0040599148
2022-01-01,SUV,4,199898.28584966616
2022-01-01,Sedan,1,24632.8398669622
2022-01-01,Sedan,7,474995.3670932902
2022-01-01,Sedan,3,166571.4414900773
2022-01-01,SUV,8,490879.9586163559
2022-01-01,SUV,10,785871.1650904181
2022-01-01,Sedan,10,456451.0822758256
2022-01-01,Electric,2,147284.41988997097
2022-01-01,Electric,5,187072.45892766275
2022-01-01,Sedan,10,295938.05293653125
2022-01-01,SUV,8,248234.75199936613
2022-01-01,SUV,7,343888.37610254745
2022-01-01,Electric,7,546445.3709030027
2022-01-01,Sedan,5,256947.1888474688
2022-01-01,Electric,1,48000.829172289305
2022-01-01,Truck,2,121811.79477234039
2022-01-01,Sedan,9,220116.80083991
2022-01-01,SUV,7,416890.985984389
2022-01-01,Sedan,3,172659.5541062664
2022-01-01,Sedan,3,174392.57483328457
2022-01-01,Truck,8,380128.2680205085
2022-01-01,SUV,10,420554.38914375484
2022-01-01,Truck,4,90820.59615799543
2022-01-01,Electric,6,372451.8567008943
2022-01-01,Electric,4,223859.66666261983
2022-01-01,Electric,3,181961.16721424687
2022-01-01,Truck,10,503392.4522990162
2022-01-01,Sedan,1,42012.73856068491
2022-01-01,Electric,2,53548.64843513873
2022-01-01,SUV,3,226575.0153456745
2022-01-01,Sedan,10,222291.52595338208
2022-01-01,SUV,7,167708.59947604325
2022-01-01,Sedan,10,760956.228228777
2022-01-01,Truck,7,354168.76566063444
2022-01-01,Sedan,9,187958.24021876877
2022-01-01,Electric,3,108621.48762922447
2022-01-01,Truck,6,450781.3159901227
2022-01-01,SUV,5,151383.69419411305
