Car,Horsepower
Audi,210
Chevrolet,203
Lexus,270
BMW,232
Audi,392
Kia,226
Ford,205
Audi,191
Lexus,386
BMW,150
Chevrolet,128
Lexus,395
Lexus,396
Ford,313
Mercedes,366
BMW,356
Honda,200
Lexus,209
Mercedes,281
Honda,100
BMW,154
Toyota,248
Kia,236
Mercedes,301
Nissan,216
Toyota,253
Kia,390
Ford,162
Audi,343
Chevrolet,124
Nissan,189
Ford,174
BMW,393
Ford,309
Audi,116
BMW,227
Nissan,350
Audi,278
Honda,281
Chevrolet,251
Nissan,124
Honda,279
Kia,297
Nissan,260
Kia,276
BMW,384
Honda,162
Chevrolet,249
Audi,253
Lexus,255
Ford,148
Toyota,183
Chevrolet,276
Honda,247
Lexus,217
Chevrolet,162
Honda,288
Mercedes,148
Mercedes,356
Kia,323
Chevrolet,240
Mercedes,314
Honda,310
Kia,131
Honda,257
Kia,384
Chevrolet,385
Lexus,243
Audi,118
Nissan,117
Lexus,356
BMW,177
Honda,274
BMW,293
Lexus,212
Kia,213
Nissan,321
Nissan,265
Toyota,231
Nissan,363
Audi,154
Nissan,230
Lexus,387
Toyota,365
Lexus,261
Lexus,186
Ford,154
Toyota,387
Lexus,277
Ford,107
Ford,346
Toyota,354
BMW,153
Kia,348
Audi,338
Kia,328
Nissan,166
Audi,150
Nissan,196
Lexus,191
Honda,363
Toyota,390
Audi,195
Audi,187
Lexus,177
BMW,387
Ford,219
Lexus,264
Mercedes,281
Ford,322
Toyota,106
Ford,362
BMW,260
Ford,250
Toyota,184
BMW,246
Kia,211
Audi,135
Audi,384
Nissan,287
Kia,181
Kia,101
Ford,296
Audi,110
Toyota,333
Chevrolet,294
Chevrolet,218
BMW,119
Audi,360
Audi,392
Chevrolet,355
Audi,321
Ford,325
Mercedes,152
Honda,379
Kia,180
Nissan,301
BMW,257
Mercedes,219
Chevrolet,158
Kia,314
Audi,227
Nissan,323
Audi,308
Toyota,214
Toyota,308
Nissan,113
Nissan,108
Chevrolet,139
Nissan,336
Ford,380
Audi,300
Mercedes,345
Lexus,377
Nissan,334
BMW,103
Toyota,253
Ford,128
Kia,208
Lexus,197
Mercedes,314
Lexus,392
Nissan,174
Chevrolet,245
Toyota,227
Toyota,141
Kia,140
Chevrolet,133
Audi,116
Honda,264
Ford,252
Toyota,175
BMW,186
Toyota,216
Lexus,126
Toyota,386
Toyota,233
Honda,318
Honda,267
Mercedes,197
Audi,367
BMW,336
Toyota,272
Toyota,289
Ford,221
Honda,145
BMW,163
Kia,229
Mercedes,292
Audi,280
Chevrolet,391
Audi,381
Lexus,128
Toyota,248
Mercedes,366
Lexus,395
BMW,110
Chevrolet,263
Honda,212
Mercedes,286
Mercedes,394
Toyota,331
Nissan,326
Mercedes,197
Ford,154
Chevrolet,210
Chevrolet,251
Ford,345
Kia,168
Ford,388
Ford,349
Chevrolet,135
Audi,338
Chevrolet,247
Nissan,326
Toyota,343
Lexus,300
Audi,253
Honda,172
Lexus,300
Toyota,395
Nissan,116
Nissan,228
Honda,316
Audi,160
Kia,203
Ford,141
Audi,124
Kia,138
Nissan,390
Chevrolet,230
Toyota,328
Honda,207
Toyota,271
BMW,201
BMW,111
Audi,374
Nissan,200
Nissan,143
Ford,116
Ford,156
Ford,111
Chevrolet,179
Lexus,315
Mercedes,363
Lexus,248
Toyota,180
Lexus,314
Chevrolet,297
Toyota,299
Lexus,124
Chevrolet,188
Mercedes,367
Lexus,242
Chevrolet,158
Ford,125
Nissan,146
Ford,387
Nissan,365
Honda,115
Honda,298
Honda,381
Mercedes,185
Ford,349
Nissan,369
Chevrolet,216
Toyota,106
Chevrolet,236
Toyota,275
BMW,314
Chevrolet,181
Lexus,322
Lexus,202
Audi,372
Ford,113
Toyota,258
Toyota,251
Ford,207
Mercedes,287
Audi,197
Mercedes,230
Mercedes,392
Mercedes,270
Ford,282
Mercedes,138
Lexus,114
Honda,103
BMW,309
Toyota,260
Toyota,115
BMW,207
Ford,326
Chevrolet,269
Ford,133
Toyota,350
Toyota,346
BMW,368
Mercedes,240
Ford,373
Nissan,195
BMW,326
Lexus,138
Toyota,128
BMW,344
Ford,335
Toyota,284
Chevrolet,371
BMW,335
Audi,338
Toyota,365
Ford,164
Honda,276
Nissan,102
Kia,241
Mercedes,257
Kia,245
Ford,392
Lexus,252
Lexus,292
Honda,172
Mercedes,239
Audi,286
Honda,392
Kia,160
Honda,297
Kia,394
Toyota,110
Lexus,161
Toyota,325
Nissan,252
Mercedes,298
Audi,151
Kia,359
Audi,158
Kia,171
Ford,247
Honda,162
Nissan,342
Lexus,206
Kia,325
Audi,317
Nissan,340
Chevrolet,358
Chevrolet,361
Toyota,104
Lexus,360
Ford,153
Audi,146
Honda,314
Honda,276
Audi,108
Mercedes,198
Ford,119
Nissan,340
Kia,160
Mercedes,277
Kia,161
Kia,244
Mercedes,315
Toyota,102
Chevrolet,259
Kia,326
Mercedes,368
Mercedes,219
BMW,188
Toyota,167
Lexus,197
BMW,366
BMW,204
Audi,222
Chevrolet,128
Mercedes,236
Chevrolet,294
Ford,325
Audi,269
Lexus,108
Chevrolet,139
Honda,124
Kia,360
Ford,325
Toyota,223
Lexus,137
Ford,350
Kia,275
Audi,189
Kia,136
BMW,275
Kia,383
BMW,180
Audi,213
Nissan,139
BMW,323
Toyota,214
Kia,285
Kia,155
Toyota,139
Honda,139
Mercedes,336
Nissan,388
Lexus,361
BMW,315
Toyota,246
Audi,267
BMW,191
Mercedes,158
Audi,158
Ford,268
Kia,368
Ford,144
BMW,280
Mercedes,269
Nissan,290
BMW,254
Toyota,287
Chevrolet,106
BMW,232
Kia,334
Kia,144
BMW,348
Audi,130
Chevrolet,122
Toyota,259
BMW,257
Audi,138
Kia,181
Kia,357
Mercedes,305
BMW,176
Chevrolet,111
Honda,394
Chevrolet,323
Kia,112
Kia,145
Ford,254
Kia,212
Toyota,332
Lexus,116
BMW,322
Chevrolet,287
Lexus,262
Audi,173
Honda,332
Toyota,323
Chevrolet,159
Lexus,321
Honda,136
Ford,377
Toyota,295
Toyota,341
Ford,318
BMW,291
Ford,116
Toyota,111
Toyota,292
Lexus,121
Kia,219
Honda,309
Ford,369
Honda,291
Ford,274
Audi,384
Toyota,303
Kia,263
Lexus,350
Kia,326
Kia,106
Kia,128
Honda,132
Ford,233
Nissan,178
Audi,157
Chevrolet,125
Kia,325
BMW,384
Honda,103
Lexus,198
Chevrolet,138
Nissan,370
BMW,384
Nissan,256
Chevrolet,174
Kia,387
BMW,229
Nissan,274
Lexus,183
Ford,121
Toyota,126
Ford,294
Chevrolet,335
Honda,191
Toyota,120
Audi,183
Lexus,361
Audi,246
BMW,356
Toyota,157
Audi,114
Audi,261
Nissan,262
Ford,380
Nissan,379
Toyota,111
Toyota,373
Chevrolet,370
Nissan,307
Mercedes,126
Ford,171
Toyota,159
Chevrolet,244
Nissan,192
Ford,107
Nissan,178
Audi,126
Chevrolet,273
Ford,149
Kia,298
BMW,280
BMW,123
Ford,145
Nissan,114
Chevrolet,252
BMW,321
Chevrolet,305
BMW,372
Audi,335
Nissan,327
Audi,108
BMW,265
Kia,313
Kia,216
Audi,171
Kia,163
BMW,304
Ford,308
Audi,171
Honda,376
Nissan,373
Kia,194
Kia,265
Toyota,131
Mercedes,110
Audi,316
Lexus,388
Kia,201
Nissan,366
Honda,313
Kia,278
Honda,187
BMW,140
BMW,175
Mercedes,145
Ford,259
Lexus,179
Toyota,185
Mercedes,191
Chevrolet,247
Toyota,260
Audi,301
Nissan,341
Chevrolet,101
Chevrolet,324
Mercedes,388
Ford,332
Mercedes,176
Audi,215
Kia,253
Kia,202
Ford,293
Audi,265
Ford,189
Honda,273
Kia,221
Chevrolet,242
Lexus,205
Nissan,222
Audi,108
