Date,Brake_Counter,Stop_Counter,Cruise_Control,PTO_Time,Engine_Load,Fuel_Efficiency_kmpl
01-01-2023,63,40,0,5.002356334,64.3647855,22.52225532
02-01-2023,9,0,1,0.993171164,34.68303716,36.92080855
03-01-2023,94,13,0,4.980935968,35.75610236,28.35032721
04-01-2023,69,6,0,7.9370638,16.96961556,38.04649718
05-01-2023,64,22,0,0.905704167,26.91869096,33.7330808
06-01-2023,38,38,0,1.871990632,55.35844296,26.55279058
07-01-2023,81,49,0,9.328983944,30.94642049,25.19462904
08-01-2023,84,30,1,1.99032579,63.57666267,20.75757113
09-01-2023,17,11,0,3.537986654,43.20877477,34.3642358
10-01-2023,59,21,1,8.661807585,65.84849643,23.29057441
11-01-2023,22,20,0,7.731355803,36.99746484,34.7109303
12-01-2023,9,1,0,5.640550671,80.5696544,24.19780769
13-01-2023,31,5,0,7.022769611,19.14689822,40.90194598
14-01-2023,22,1,1,0.87764296,82.99060495,23.40681219
15-01-2023,66,19,1,3.447023355,10.84495513,38.55223732
16-01-2023,57,37,0,5.835748729,86.08604956,16.84929666
17-01-2023,40,19,0,3.906174031,54.75482505,27.37944955
18-01-2023,56,9,0,4.275175096,53.01789123,28.43808806
19-01-2023,58,38,1,5.746969563,95.25313086,11.77612904
20-01-2023,85,48,0,6.174137318,60.11007793,18.74325855
21-01-2023,55,31,0,2.562321695,17.29596669,36.93476951
22-01-2023,0,30,0,4.628445978,98.57193973,15.27941536
23-01-2023,76,11,0,7.453987361,62.09930009,22.71620058
24-01-2023,1,13,0,0.506657476,18.35519454,42.99902612
25-01-2023,91,22,0,3.021649413,23.38519995,31.03548369
26-01-2023,97,1,0,6.899950489,32.29617251,27.05248744
27-01-2023,35,25,0,0.388903323,94.87602134,17.67298435
28-01-2023,47,21,0,7.000240268,44.36085706,29.81634898
29-01-2023,89,28,1,3.846618482,55.06098548,24.03782892
30-01-2023,68,3,1,4.28870878,92.91659313,14.24406979
31-01-2023,52,13,0,2.724278494,9.079755722,41.8818172
01-02-2023,5,9,0,4.116158748,0.464338968,48.2602733
02-02-2023,2,15,0,6.435661565,23.90091883,40.35082294
03-02-2023,42,7,0,2.79322355,73.54812441,22.35968713
04-02-2023,54,30,0,8.619579867,14.95039639,36.39671741
05-02-2023,97,44,1,7.819103119,12.67664447,32.68214472
06-02-2023,81,14,0,5.158081707,50.4646162,25.34539476
07-02-2023,88,24,0,7.537276747,24.19736585,29.8251406
08-02-2023,42,31,0,5.220159716,39.79423899,32.17060964
09-02-2023,42,33,0,6.282404326,87.09246291,17.58768454
10-02-2023,25,18,0,1.252055769,85.68243055,20.43027614
11-02-2023,72,14,0,5.327360253,63.35287082,23.92926817
12-02-2023,4,20,1,1.226444985,75.46870212,25.82005737
13-02-2023,26,18,0,9.552856328,82.58779967,19.87768855
14-02-2023,42,11,0,6.41295444,15.26341778,39.03287012
15-02-2023,71,10,0,2.675999536,86.6369292,16.7354151
